Informant_ID,City,YOB,Gender,Origin,DoI,Dialect_Area,,
352,Montreal,1933,Male,Fokida,1959,2,352,352
353,Montreal,1932,Male,Cephalonia,1959,1,353,353
354,Montreal,1935,Male,Kos,1959,9,354,354
357,Montreal,1944,Male,Chania,1963,8,357,357
359,Toronto,1931,Female,"ladas, peloponnese",,1,359,359
360,Toronto,1931,Male,"Pyges, Kalamata",1965,1,360,360
361,Montreal,1947,Male,Andros,1966,15,361,361
362,Montreal,1949,Female,"Stafidokampos, Peloponnese",1965,1,362,362
363,Montreal,1943,Male,Chios,1962,10,363,363
364,Montreal,1937,Female,Alexandria,,16,364,364
365,Montreal,1946,Female,Siros,,15,365,365
366,Toronto,1936,Female,Kalamata,1955,1,366,366
367,Montreal,1940,Male,Athens,,0,367,367
368,Montreal,1948,Male,Kalimnos,1966,10,368,368
369,Montreal,1952,Female,Athens,1961,0,369,369
372,Montreal,1944,Female,Piraeus,,0,372,372
373,Montreal,1942,Male,Alexandria,1969,16,373,373
377,Toronto,1952,Male,Kos,1970,9,377,377
378,Toronto,1951,Female,Florina,1969,2,378,378
379,Toronto,1950,Male,Arcadia,1968,1,379,379
380,Toronto,1938,Female,Nafpaktia,1964,2,380,380
382,Ottawa,1949,Female,Athens,1965,0,382,382
383,Montreal,1948,Male,Piraeus,,0,383,383
384,Montreal,1932,Male,Kastoria,1951,2,384,384
385,Montreal,1932,Female,Nafpaktia,1958,2,385,385
386,Toronto,1951,Male,Kerkyra,1968,1,386,386
387,Toronto,1951,Female,Corfu,1974,1,387,387
388,Montreal,1932,Male,Ithaca,1963,1,388,388
389,Montreal,1937,Male,Thessaloniki,1969,2,389,389
390,Montreal,1946,Male,Karpenisi,1968,2,390,390
394,Toronto,1936,Female,Karditsa,,2,394,394
395,Toronto,,Female,florina,,2,395,395
400,Montreal,1945,Male,Tinos,1962,15,400,400
401,Montreal,1939,Female,Athens,1962,0,401,401
403,Toronto,1934,Female,Agrinio,1955,2,403,403
409,Victoria,1944,Female,Skyros,,2,409,409
410,Victoria,,Male,Athens,,0,410,410
414,Winnipeg,1965,Male,Nicosia,,9,414,414
424,Toronto,1941,Female,Tripoli,,1,424,424
428,Toronto,1949,Male,Mytilini,,2,428,428
430,Toronto,1945,Female,Amaliada,,1,430,430
448,Toronto,1941,Male,Fokida,,2,448,448
